date,ticker,event_type,drug_name,therapeutic_area,outcome,source,application_type,active_ingredient,sponsor_raw,px_1d_ret_pct,px_5d_ret_pct,days_to_event,as_of_date
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,90,2018-01-16
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,89,2018-01-17
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,88,2018-01-18
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,87,2018-01-19
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,84,2018-01-22
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,83,2018-01-23
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,82,2018-01-24
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,81,2018-01-25
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,80,2018-01-26
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,77,2018-01-29
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,76,2018-01-30
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,75,2018-01-31
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,74,2018-02-01
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,73,2018-02-02
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,70,2018-02-05
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,69,2018-02-06
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,68,2018-02-07
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,67,2018-02-08
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,66,2018-02-09
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,63,2018-02-12
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,62,2018-02-13
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,61,2018-02-14
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,60,2018-02-15
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,59,2018-02-16
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,55,2018-02-20
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,54,2018-02-21
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,53,2018-02-22
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,52,2018-02-23
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,49,2018-02-26
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,48,2018-02-27
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,47,2018-02-28
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,46,2018-03-01
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,45,2018-03-02
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,42,2018-03-05
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,41,2018-03-06
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,40,2018-03-07
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,39,2018-03-08
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,38,2018-03-09
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,35,2018-03-12
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,34,2018-03-13
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,33,2018-03-14
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,32,2018-03-15
2018-06-13,MRK,APPROVAL,Keytruda (pembrolizumab) - 1L NSCLC,Oncology,APPROVED,manual,,,,0.24,-1.1,90,2018-03-15
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,31,2018-03-16
2018-06-13,MRK,APPROVAL,Keytruda (pembrolizumab) - 1L NSCLC,Oncology,APPROVED,manual,,,,0.24,-1.1,89,2018-03-16
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,28,2018-03-19
2018-06-13,MRK,APPROVAL,Keytruda (pembrolizumab) - 1L NSCLC,Oncology,APPROVED,manual,,,,0.24,-1.1,86,2018-03-19
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,27,2018-03-20
2018-06-13,MRK,APPROVAL,Keytruda (pembrolizumab) - 1L NSCLC,Oncology,APPROVED,manual,,,,0.24,-1.1,85,2018-03-20
2018-04-16,BMY,APPROVAL,Opdivo (nivolumab) - HCC,Oncology,APPROVED,manual,,,,-7.79,-13.21,26,2018-03-21
