nct_id,ticker,brief_title,official_title,lead_sponsor,collaborators,study_type,overall_status,phases,interventions,conditions,start_date,primary_completion_date,completion_date,results_first_posted_date,last_update_posted_date,source
NCT02031276,ABBV,"Efficacy, Safety and Pharmacokinetics of BI 655066/ABBV-066 (Risankizumab) in Patients With Active, Moderate-to-severe Crohn's Disease.","A Phase II, Multicenter, Randomized, Double-blind, Multiple Dose, Placebo-controlled, Parallel-group Study to Evaluate the Efficacy, Pharmacokinetics, and Safety of BI 655066/ABBV-066 (Risankizumab), an IL-23 p19 Antagonist Monoclonal Antibody, in Patients With Moderately to Severely Active Crohn's Disease, Who Are naïve to, or Were Previously Treated With Anti-TNF Therapy",AbbVie,Boehringer Ingelheim,INTERVENTIONAL,COMPLETED,PHASE2,risankizumab IV|risankizumab SC|Placebo,Crohn Disease,2014-02-01,2015-12-01,2016-11-01,2018-11-23,2018-11-23,clinicaltrials.gov_api_v2
NCT02047110,ABBV,BI 655066 (Risankizumab) Proof of Concept Dose Finding Study in Ankylosing Spondylitis (AS),"A 48 Weeks, Phase II, Randomized, Double-blind, Placebo-controlled, Proof of Concept and Dose Finding Study of Three Different Dose Regimens of BI 655066 Administered Subcutaneously in Patients With Ankylosing Spondylitis.",AbbVie,Boehringer Ingelheim,INTERVENTIONAL,COMPLETED,PHASE2,placebo for risankizumab|risankizumab,Ankylosing Spondylitis (AS),2014-01-28,2015-03-05,2016-07-25,2019-05-31,2019-05-31,clinicaltrials.gov_api_v2
NCT02049138,ABBV,An Open-label Extension Study Evaluating the Safety and Efficacy of Upadacitinib (ABT-494) in Adults With Rheumatoid Arthritis,"Phase 2 Study, Multicenter, Open-Label Extension (OLE) Study in Rheumatoid Arthritis Subjects Who Have Completed a Preceding Phase 2 Randomized Controlled Trial (RCT) With Upadacitinib (ABT-494)",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE2,Upadacitinib|Pneumococcal 13-valent conjugate vaccine (PCV-13),Rheumatoid Arthritis,2014-01-24,2021-07-29,2021-07-29,2022-07-12,2022-07-12,clinicaltrials.gov_api_v2
NCT02066389,ABBV,A Study Investigating the Efficacy and Safety of Upadacitinib (ABT-494) Given With Methotrexate (MTX) in Adults With Rheumatoid Arthritis Who Have Had an Inadequate Response to MTX Alone,"A Randomized, Double-Blind, Placebo-Controlled, Phase 2 Study to Investigate the Safety and Efficacy of ABT-494 With Background Methotrexate (MTX) in Subjects With Active Rheumatoid Arthritis (RA) Who Have Had an Inadequate Response to MTX Alone",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE2,Placebo|Upadacitinib,Rheumatoid Arthritis,2014-03-26,2015-07-02,2015-07-02,2019-10-04,2021-07-30,clinicaltrials.gov_api_v2
NCT02203851,ABBV,Extension Trial Assessing the Safety and Efficacy of BI 655066/ABBV-066/Risankizumab in Patients With Moderate to Severe Chronic Plaque Psoriasis,An Open Label Extension Trial Assessing the Safety and Efficacy of BI 655066/ ABBV-066/Risankizumab Administered Subcutaneously in Patients With Moderate to Severe Chronic Plaque Psoriasis,AbbVie,Boehringer Ingelheim,INTERVENTIONAL,COMPLETED,PHASE2,Risankizumab,Psoriasis,2014-11-20,2018-09-04,2018-09-04,2019-11-08,2019-11-08,clinicaltrials.gov_api_v2
NCT02365649,ABBV,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of ABT-494 for the Induction of Symptomatic and Endoscopic Remission in Subjects With Moderately to Severely Active Crohn's Disease Who Have Inadequately Responded to or Are Intolerant to Immunomodulators or Anti-TNF Therapy","A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of Upadacitinib (ABT-494) for the Induction of Symptomatic and Endoscopic Remission in Subjects With Moderately to Severely Active Crohn's Disease Who Have Inadequately Responded to or Are Intolerant to Immunomodulators or Anti-TNF Therapy",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE2,Placebo|ABT-494,Crohn's Disease,2015-03-17,2016-11-25,2017-08-03,2023-08-14,2023-12-27,clinicaltrials.gov_api_v2
NCT02443298,ABBV,Efficacy and Safety of BI 655066/ABBV-066 (Risankizumab) in Patients With Severe Persistent Asthma,"Phase IIa, Randomized, Double-blind, Placebo Controlled, Parallel Group Study to Assess the Safety and Efficacy of Subcutaneously Administered BI 655066/ABBV-066 (Risankizumab) as add-on Therapy Over 24 Weeks in Patients With Severe Persistent Asthma.",AbbVie,Boehringer Ingelheim,INTERVENTIONAL,COMPLETED,PHASE2,placebo|risankizumab,Asthma,2015-06-23,2017-10-13,2018-02-02,2019-04-10,2019-04-10,clinicaltrials.gov_api_v2
NCT02513459,ABBV,"A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease","An Open Label, Single Group, Long Term Safety Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease",AbbVie,Boehringer Ingelheim,INTERVENTIONAL,COMPLETED,PHASE2,Risankizumab 600 mg IV|Risankizumab 180 mg SC,Crohn Disease,2015-09-16,2019-06-19,2019-06-19,2020-04-24,2020-04-24,clinicaltrials.gov_api_v2
NCT02596217,ABBV,"Safety, Tolerability and Pharmacokinetics of BI 655066/ABBV-066 (Risankizumab) in Healthy Asian and Caucasian Male Volunteers","Safety, Tolerability, and Pharmacokinetics of Single Rising s.c. (Stage 1) and i.v. (Stage 2) Doses of BI 655066/ABBV-066 (Risankizumab) in Healthy Asian and Caucasian Male Volunteers (Double-blind, Randomized, Placebo-controlled Within Dose Groups)",AbbVie,Boehringer Ingelheim,INTERVENTIONAL,COMPLETED,PHASE1,ABBV-066|ABBV-066|Placebo|Placebo,Healthy,2015-08-01,2017-06-01,2017-06-01,,2017-07-06,clinicaltrials.gov_api_v2
NCT02629159,ABBV,A Study Comparing Upadacitinib (ABT-494) to Placebo and to Adalimumab in Adults With Rheumatoid Arthritis Who Are on a Stable Dose of Methotrexate and Who Have an Inadequate Response to Methotrexate,"A Phase 3, Randomized, Double-Blind Study Comparing Upadacitinib (ABT-494) to Placebo and to Adalimumab in Subjects With Moderately to Severely Active Rheumatoid Arthritis Who Are on a Stable Background of Methotrexate (MTX) and Who Have an Inadequate Response to MTX (MTX-IR)",AbbVie,,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,PHASE3,Placebo for Adalimumab|Adalimumab|Placebo for Upadacitinib|Upadacitinib,Rheumatoid Arthritis,2015-12-01,2017-10-27,2027-09-30,2019-10-07,2025-08-05,clinicaltrials.gov_api_v2
