filing_id,date,ticker,form_type,sec_emb_000,sec_emb_001,sec_emb_002,sec_emb_003,sec_emb_004,sec_emb_005,sec_emb_006,sec_emb_007,sec_emb_008,sec_emb_009,sec_emb_010,sec_emb_011,sec_emb_012,sec_emb_013,sec_emb_014,sec_emb_015,sec_emb_016,sec_emb_017,sec_emb_018,sec_emb_019,sec_emb_020,sec_emb_021,sec_emb_022,sec_emb_023,sec_emb_024,sec_emb_025,sec_emb_026,sec_emb_027,sec_emb_028,sec_emb_029,sec_emb_030,sec_emb_031,sec_emb_032,sec_emb_033,sec_emb_034,sec_emb_035,sec_emb_036,sec_emb_037,sec_emb_038,sec_emb_039,sec_emb_040,sec_emb_041,sec_emb_042,sec_emb_043,sec_emb_044,sec_emb_045,sec_emb_046,sec_emb_047,sec_emb_048,sec_emb_049,sec_emb_050,sec_emb_051,sec_emb_052,sec_emb_053,sec_emb_054,sec_emb_055,sec_emb_056,sec_emb_057,sec_emb_058,sec_emb_059,sec_emb_060,sec_emb_061,sec_emb_062,sec_emb_063
abbv_10q_20180504_000155115218000025,2018-05-04,ABBV,10-Q,8.138697,-1.3399802,-1.1907947,-1.0450404,0.7818699,0.13186646,-0.42020887,-0.45954174,-0.29321575,-0.11525619,-0.024541646,-0.11390376,0.026406765,-0.14896846,0.017596483,0.012671471,-0.06522983,0.053224638,-0.06385827,-0.033547938,0.080307335,-0.0048096776,-0.098825514,0.020449638,-0.08001083,-0.16063291,0.13084328,-0.23697567,-0.40109658,0.13021064,0.063749425,-0.09068191,0.0012848973,-0.11808002,-0.2350949,-0.02054751,-0.148769,-0.050574422,-0.07652426,-0.061159164,-0.004067123,-0.04390621,0.0070137978,-0.034267604,-0.010821223,0.037441313,-0.074377716,-0.04170215,-0.018755317,0.058656275,-0.00073096156,0.01787126,-0.05819726,-0.028594077,0.03189701,0.07379457,0.09240949,-0.028529227,0.021336257,-0.00067961216,0.009877652,-0.013656974,0.004139602,-0.03095904
abbv_10q_20180807_000155115218000032,2018-08-07,ABBV,10-Q,-2.6435633,3.5137687,2.7000709,0.5568378,-0.12440753,1.7411151,-1.535667,0.37076738,-1.1473783,0.44258535,-0.36442804,0.49647236,0.20610702,-0.29503518,-0.360093,0.69236374,-0.13987213,-0.026453227,-0.9445679,-0.38684118,0.3651558,1.2054452,0.2784154,-0.25178266,-0.63201237,-0.32086313,-0.31729722,-0.075056314,-0.3203429,-0.79222524,-0.11876102,0.09834671,-0.076974034,-0.110262275,-0.043563604,0.03673148,0.18014652,-0.004995823,0.04834509,0.047782987,-0.026830107,0.06375426,0.054167867,0.026021838,-0.05187571,-0.04521437,0.0162794,-0.00793016,0.017366648,-0.007649511,0.008166999,0.011950396,0.03717351,0.01257962,0.028574586,-0.017561555,-0.019673824,0.010155648,0.018966675,0.023511767,0.0032251328,-0.012272358,0.00831002,0.009725884
abbv_10q_20181107_000155115218000042,2018-11-07,ABBV,10-Q,8.149994,-1.2264116,-1.1883568,-1.0326135,0.72283316,0.13793397,-0.3488053,-0.43915522,-0.24503516,-0.13347507,-0.019363388,-0.07694769,-0.0563879,-0.021348745,-0.0044002533,-0.011102438,-0.06762868,0.014791086,-0.055766582,-0.058124125,0.05665928,0.005109608,-0.093621254,0.08492613,-0.050631106,-0.11436504,0.008486152,-0.13964713,-0.19976485,0.09680581,-0.016759671,0.0009191036,-0.04358238,0.02567184,-0.03608358,0.01841712,-0.019320011,0.008309007,0.022672892,0.0060548782,0.04064572,-0.006689906,-0.016899943,0.04158801,0.063165665,0.0058613867,0.08425552,-0.012417793,-0.009012103,-0.044767454,-0.003685832,-0.0108646825,-0.0054057837,0.04183352,-0.011778772,-0.062112927,-0.054225326,-0.021792054,-0.033659995,-0.002221167,0.007070899,0.03256607,-0.021152377,0.0029862225
abbv_10k_20190227_000155115219000008,2019-02-27,ABBV,10-K,-1.9133394,-2.0353518,0.4450965,-0.7459593,-4.694443,-1.2105879,-1.289484,-0.51345414,-0.23309225,-0.33021712,1.325465,-0.31547606,-0.15645838,0.26049036,0.21279144,0.102874994,-0.12559849,0.4266606,-0.13121295,0.057472765,0.2289681,0.19679147,-0.14705819,-0.29078722,0.11781275,-0.01277864,-0.02735567,-0.033594728,0.10581577,0.10192144,-0.16036427,-0.011436462,-0.10750806,0.12039375,-0.0669992,-0.048042774,-0.051010698,-0.13509202,-0.13905752,0.4080106,-0.14829752,0.11499357,0.32795185,-0.08477008,0.07814479,0.11544326,0.038522422,-0.16099215,-0.03614235,0.104913265,-0.009348303,-0.15871562,0.029835105,-0.17623085,0.024744809,-0.14112353,0.12996769,-0.04235041,-0.14738661,0.01575321,-0.018289179,0.010895133,-0.035954475,0.017184049
abbv_10q_20190503_000155115219000016,2019-05-03,ABBV,10-Q,8.149994,-1.2264116,-1.1883568,-1.0326135,0.72283316,0.13793397,-0.3488053,-0.43915522,-0.24503516,-0.13347507,-0.019363388,-0.07694769,-0.0563879,-0.021348745,-0.0044002533,-0.011102438,-0.06762868,0.014791086,-0.055766582,-0.058124125,0.05665928,0.005109608,-0.093621254,0.08492613,-0.050631106,-0.11436504,0.008486152,-0.13964713,-0.19976485,0.09680581,-0.016759671,0.0009191036,-0.04358238,0.02567184,-0.03608358,0.01841712,-0.019320011,0.008309007,0.022672892,0.0060548782,0.04064572,-0.006689906,-0.016899943,0.04158801,0.063165665,0.0058613867,0.08425552,-0.012417793,-0.009012103,-0.044767454,-0.003685832,-0.0108646825,-0.0054057837,0.04183352,-0.011778772,-0.062112927,-0.054225326,-0.021792054,-0.033659995,-0.002221167,0.007070899,0.03256607,-0.021152377,0.0029862225
abbv_10q_20190805_000155115219000023,2019-08-05,ABBV,10-Q,8.149994,-1.2264116,-1.1883568,-1.0326135,0.72283316,0.13793397,-0.3488053,-0.43915522,-0.24503516,-0.13347507,-0.019363388,-0.07694769,-0.0563879,-0.021348745,-0.0044002533,-0.011102438,-0.06762868,0.014791086,-0.055766582,-0.058124125,0.05665928,0.005109608,-0.093621254,0.08492613,-0.050631106,-0.11436504,0.008486152,-0.13964713,-0.19976485,0.09680581,-0.016759671,0.0009191036,-0.04358238,0.02567184,-0.03608358,0.01841712,-0.019320011,0.008309007,0.022672892,0.0060548782,0.04064572,-0.006689906,-0.016899943,0.04158801,0.063165665,0.0058613867,0.08425552,-0.012417793,-0.009012103,-0.044767454,-0.003685832,-0.0108646825,-0.0054057837,0.04183352,-0.011778772,-0.062112927,-0.054225326,-0.021792054,-0.033659995,-0.002221167,0.007070899,0.03256607,-0.021152377,0.0029862225
abbv_10q_20191106_000155115219000030,2019-11-06,ABBV,10-Q,8.1004715,-1.2441962,-1.1812356,-0.94241333,0.7660223,0.10581517,-0.3662607,-0.3939283,-0.21926418,-0.12156844,0.024143264,-0.026829243,-0.011824369,-0.06524721,-0.003105402,0.031379223,-0.048650146,-0.0024776459,-0.025732756,0.0060322285,0.03939578,0.0037086606,-0.08440608,0.0461483,-0.0375458,-0.057311714,0.055745363,-0.15364027,-0.19081366,0.12018061,0.03926862,-0.0020480156,0.0014958382,-0.012352943,-0.03984523,-0.013688803,0.017413378,-0.015550852,0.029817343,-0.052422896,0.059465922,0.01032877,-0.04248464,0.0048749447,0.028152347,0.020367369,0.047133446,0.01158762,-0.008447051,-0.012764573,0.008133173,-0.02084662,0.043910205,-0.01632142,0.08714461,-0.0019939244,-0.041434765,-0.034534037,-0.03169948,-0.024169505,0.04227805,0.041347623,-0.0045865774,0.044770762
abbv_10k_20200221_000155115220000007,2020-02-21,ABBV,10-K,-1.9819071,-2.5261393,0.12643337,-1.0700793,-5.472904,-1.2746642,-1.2367551,-0.7385914,0.06767526,-0.26698327,1.5554268,-0.5002129,-0.037714005,0.43854398,0.2533419,-0.017556429,-0.086645365,0.0010243654,-0.1700151,-0.070575535,0.08470884,0.31452966,0.008599222,-0.026000261,-0.07098472,-0.024248302,-0.12262535,-0.049818397,0.06045139,0.08441985,0.07880242,-0.24403822,0.068130374,0.023633718,0.054291964,-0.13641608,-0.030964956,-0.074513316,-0.017714381,-0.075879335,0.01774314,0.1394546,-0.03338623,0.008524001,-0.039854765,-0.06817354,0.017427146,0.20164269,-0.3947878,-0.12120336,-0.079267204,0.048175033,-0.13498163,0.09018952,-0.0012068748,0.08868319,-0.121338725,0.048130125,0.16636789,0.025663555,-0.00817287,0.06682563,0.008598208,-0.08702561
abbv_10q_20200508_000155115220000015,2020-05-08,ABBV,10-Q,8.113438,-1.2392124,-1.11784,-0.9788704,0.84514976,0.12011337,-0.47112727,-0.43002152,-0.2903215,-0.08238852,0.007858798,-0.13765883,-0.13073182,-0.07809457,-0.008078098,0.02851677,-0.08117771,-0.029887795,-0.042379618,-0.13484937,0.047460794,-0.050718546,-0.14181024,0.012743473,0.01507628,-0.17710319,0.07373941,-0.14431334,-0.3016411,0.11336696,0.1462813,-0.11359596,-0.071561575,-0.11456478,-0.24979794,-0.0026900768,-0.144192,0.0025362968,-0.07952362,-0.034513563,-0.009725422,-0.06485808,-0.050688624,0.07651949,0.009534121,0.06999541,0.115531266,-0.04572034,0.001850009,-0.016251057,0.051882297,-0.052070454,0.058443487,-0.0013548136,0.03153175,0.07972929,0.038962126,0.10311043,0.080602884,-0.0047148466,-0.13882783,-0.100284934,0.0061787963,0.05377291
abbv_10q_20200804_000155115220000023,2020-08-04,ABBV,10-Q,8.112873,-1.1060404,-1.1576171,-1.0469139,0.5375267,0.08596325,-0.2902168,-0.3769111,-0.25847164,-0.12252474,-0.09120875,-0.04984474,0.005801201,0.053622246,0.040412188,-0.04579115,-0.06929222,0.013822287,-0.00095558167,0.024954677,0.0815388,-0.009847462,-0.04567516,0.11337781,-0.035235167,0.030237377,-0.0005506277,-0.059296012,0.007921696,0.089505315,-0.071502805,0.072844505,0.060362577,0.1438061,0.2628253,-0.042384624,0.12657216,0.0060522556,0.10386336,0.015093863,-0.009395555,0.1270358,-0.016595364,-0.039050937,0.03292322,-0.09168686,0.031153262,0.10446358,0.026207209,-0.060787708,0.09778243,-0.12087153,0.19625431,-0.0071614385,-0.108409286,-0.061633527,-0.014723539,0.024661005,-0.009396315,-0.027383387,-0.06182483,-0.022330642,0.05430591,-0.013139442
