trial,learning_rate,n_steps,batch_size,n_epochs,gamma,gae_lambda,ent_coef,clip_range,vf_coef,score_mean,sharpe_mean,cumret_mean,maxdd_mean
8,0.00014312907952658717,512,512,10,0.995,0.9,0.001,0.3,0.75,-2.2431196788409764,-2.4763146358352923,0.15392400874280265,-0.1493061209825794
3,6.931992476306837e-05,512,256,10,0.97,0.98,0.01,0.1,0.5,-2.441166735964667,-2.5397245920458387,0.07791010350025362,-0.11452470183867125
7,6.084249829775808e-05,1024,64,10,0.99,0.9,0.0,0.2,0.75,-2.58855587037781,-2.7368246138931727,0.1023612841371041,-0.11290764951769183
6,0.0004141362378071349,1024,512,5,0.97,0.98,0.001,0.1,0.5,-2.610850251849576,-2.806862055956386,0.1285340199403382,-0.12211247154773353
2,0.00011381435364145349,512,512,10,0.99,0.95,0.01,0.2,0.5,-2.6314372194300253,-2.6441418066010804,0.04625540163155162,-0.15961243218409582
5,6.193812608167268e-05,1024,128,5,0.97,0.95,0.0,0.3,0.75,-3.4212141999652257,-3.35148780486022,0.0077256040407200355,-0.17035520637289164
4,0.00043364227095745047,2048,128,5,0.995,0.95,0.01,0.3,0.75,-4.478477425411237,-4.727414538209931,0.15280822213646328,-0.1133586629484638
10,6.307573264835858e-05,4096,64,10,0.995,0.98,0.005,0.2,0.75,-4.670806659264665,-4.83546489804759,0.10749328345683207,-0.1006566562614788
0,0.0004580723447215096,2048,128,5,0.995,0.9,0.005,0.1,0.25,-9.411976786367148,-9.692904071887595,0.16588286695499033,-0.10167689677906838
1,0.0009192497648701939,2048,512,10,0.995,0.95,0.0,0.3,0.5,-11.446240447980149,-11.547069134012087,0.07873119182311072,-0.1132673952285656
11,0.00046891437488618066,2048,128,10,0.99,0.9,0.0,0.1,0.25,-13.785312754663185,-13.994628590573202,0.13143857780938728,-0.10712263941751382
9,0.0005095027544897263,4096,128,10,0.97,0.9,0.005,0.2,0.25,-16.270865770370108,-16.67420796999919,0.22814199430882465,-0.10588357797713721
