date,ppo_price_sentiment,buy_hold_equal,equal_weight_monthly,momentum_20d,xph
2022-01-04,999900.1353070679,994242.5571683424,994242.5571683423,1000000.0,985410.8542378774
2022-01-05,999542.4011176453,998457.3195675104,998457.3195675103,1000000.0,966745.4911943111
2022-01-06,1000724.323729187,993318.6697516119,993318.6697516117,1000000.0,963312.4862137875
2022-01-07,999720.7042284546,999963.5757056482,999963.575705648,1000000.0,963956.2179324473
2022-01-10,1004300.2380256653,1014385.0752632698,1014385.0752632697,1000000.0,979618.0478965486
2022-01-11,1002195.1915093994,1018978.7989299236,1018978.7989299236,1000000.0,984981.728615312
2022-01-12,997137.8121392822,1007180.0877936344,1007180.0877936345,1000000.0,965243.5948001436
2022-01-13,992667.2008151246,1006188.0223466216,1006188.0223466216,1000000.0,945290.854888881
2022-01-14,989214.1123505249,1010821.465330872,1010821.465330872,1000000.0,947007.0976702729
2022-01-18,985895.2249545899,1003493.8333613914,1003493.8333613916,1000000.0,927483.4833815757
2022-01-19,983051.7811273804,994366.6778592395,994366.6778592395,1000000.0,926625.0589971982
2022-01-20,980938.6513105163,985324.0969202882,985324.0969202882,1000000.0,917614.2000499333
2022-01-21,975335.099830658,975711.5655137731,975711.5655137731,1000000.0,904097.911629036
2022-01-24,973651.8565171204,969305.6302838529,969305.6302838529,1000000.0,907959.6093840087
2022-01-25,965047.4932061767,975167.0141646017,975167.0141646017,1000000.0,907316.2239438419
2022-01-26,986726.0721870422,971495.7239985275,971495.7239985273,1000000.0,900236.1273044401
2022-01-27,990291.9800285338,982407.9764674623,982407.9764674624,1000000.0,891439.6147443997
2022-01-28,1001080.3199810791,998678.2717126699,998678.2717126698,1000000.0,910748.6229370026
2022-01-31,1007049.2029170837,994329.8254514877,994329.8254514876,1000000.0,934777.8398385788
2022-02-01,1009572.3243138122,997789.6115771256,997747.5606713413,1000000.0,944432.5170741268
2022-02-02,1002297.3874754333,995101.7336893687,994760.6481348983,1001311.390458244,943359.5731632783
2022-02-03,1012155.7419341889,983739.7199938905,983527.5123109182,990422.1717398159,922119.7160931891
2022-02-04,1012093.0979366302,980205.7631761334,979784.7822512566,992153.83675115,931345.1811365483
2022-02-07,1006048.67241539,983286.4666658663,982771.8989605751,1007272.4540723374,938854.3168288922
2022-02-08,1002966.8314553527,989563.8505030562,988866.6397745236,1008452.648942905,935206.9654611442
2022-02-09,1005407.6046615143,990283.5349042268,989579.2830745446,1008103.0903502564,956017.8700479146
2022-02-10,1005291.1441588898,974328.9530747238,973276.0368140276,991942.1685401741,950654.5356076444
2022-02-11,993861.0850823212,971064.1976646604,969851.8456066079,991606.8717578759,942930.5341103361
2022-02-14,984359.266563568,964851.3421786763,963418.4736948977,994544.3768934819,932203.345812056
2022-02-15,972571.1058057556,973711.2114016009,972108.3287825672,1007810.1046693216,954730.8394587113
2022-02-16,982164.8040959014,971949.1419075694,970364.675467604,1008669.626179538,955803.2639518202
2022-02-17,981597.135444931,963187.9471841854,961458.8154360326,1003499.74245179,935421.7446964852
2022-02-18,975818.9724594573,959198.7093915346,957376.5621083406,998539.4475125419,929414.1591198156
2022-02-22,965694.3299585113,956133.1390172059,954193.3304236385,1002435.2444214144,914825.0999273162
2022-02-23,952955.5301424561,956678.2988289695,954595.8376955927,1010134.2507791982,900450.5602612878
2022-02-24,953413.3652194977,940238.4235685066,938163.0471740734,998835.2731994817,913966.9352518085
2022-02-25,935642.6010338287,969306.6817605206,967004.0275930538,1026167.7308690192,940141.6936965887
2022-02-28,981097.4049970245,965343.7139556668,963016.2703433227,1019963.9545276588,928985.2932061199
2022-03-01,972807.537089981,960442.9734426497,957906.0032726384,1018710.7635039265,926196.2796531259
2022-03-02,969496.1769863738,971274.768951271,969217.4217995611,1028532.1407547313,946577.7989084609
2022-03-03,981359.8628240814,980270.0995832608,978272.092069919,1037826.5286538303,934777.8398385788
2022-03-04,995572.0098710632,984078.8014276153,982200.999146016,1039824.4271957041,931559.6140933961
2022-03-07,1001404.0874422302,978362.9629021056,975857.020081617,1036478.48353906,918043.1525332523
2022-03-08,1017347.2408779602,964107.3359354223,961700.4374282685,1021181.037294371,913108.8571459241
2022-03-09,996941.7049874268,970629.3616308011,968230.8162206927,1027580.3079499393,940570.7327495308
2022-03-10,1000686.1863378906,966684.4220449985,963947.7174284317,1029551.2647274594,941857.9364779807
2022-03-11,1002442.4483510589,970949.8454280356,968415.0096351893,1033185.5020280491,937137.9009082539
2022-03-14,1000624.4786054229,980740.0913996086,978490.2759035382,1042991.8159851062,905170.5092613916
2022-03-15,1014350.6430340728,993331.6696199351,990585.0227605823,1062495.1458298997,917399.5939538389
2022-03-16,1040470.373094925,995592.2788541466,993438.6876502236,1063730.6934187135,940785.1657063788
2022-03-17,1030955.245341568,1010919.469242936,1008983.4728148157,1082978.6131459333,967388.9632041011
2022-03-18,1044351.9433152924,1014213.6722311054,1012395.2079238396,1082162.1241350642,978116.3246416277
2022-03-21,1032829.406687088,1014556.5705379401,1012461.1974603223,1081356.1592706675,968875.3636357026
2022-03-22,1038651.5034554901,1014024.6855648631,1011854.8120031088,1071200.5659023707,979430.1052444224
2022-03-23,1033768.1252158355,1008104.4084615539,1005285.113251804,1060583.476554266,971460.3325866414
2022-03-24,1029883.7565896759,1018340.4638960559,1015313.7537113088,1069268.7434101684,979860.9622594535
2022-03-25,1035181.5452657318,1023894.9897190531,1020275.1754482071,1077377.1247092912,978999.5079382613
2022-03-28,1045073.8891011504,1027480.0106091163,1024105.5047154449,1080908.9367249743,974260.5136210377
2022-03-29,1050433.8833439332,1031868.3307971782,1028722.7897109961,1076823.577667505,990846.5608832041
2022-03-30,1049903.322491104,1033430.8776426897,1029294.9363934632,1081992.5459104145,981153.187026053
2022-03-31,1060803.1999934388,1026795.2825293371,1022605.0607504947,1071525.5536133114,975122.2276510994
2022-04-01,1046895.8104016418,1032751.9091256564,1028087.5677867983,1077800.5268419439,990200.3186454693
2022-04-04,1052553.757479431,1032466.5565937697,1028237.3945543615,1075063.566334007,993431.2701252733
2022-04-05,1042414.8060948639,1033256.5391996319,1027887.9180179781,1082567.7224046362,982445.844640769
2022-04-06,1049135.7671320648,1055226.2853432216,1049542.4779059237,1104467.410937427,992139.0453586733
2022-04-07,1076377.0877487182,1073227.817366882,1066967.9167976277,1131303.5032381655,1000324.0300999116
2022-04-08,1073605.1818093872,1081660.1065513042,1075741.0348970979,1141272.1672653006,993000.326540619
2022-04-11,1075728.3468484497,1064647.8020764308,1059117.136450418,1119349.564852596,969091.0085672762
2022-04-12,1062280.4220437622,1056754.7025042246,1051114.1881305657,1109749.9353847096,963059.6163442064
2022-04-13,1062634.282883606,1057940.9956106422,1053798.8201673063,1117844.234025676,978353.1791309033
2022-04-14,1067116.9244851684,1062314.6779145221,1057172.00069175,1125070.5670951407,973829.74317563
2022-04-18,1062634.282883606,1050527.1701310922,1045773.2856884928,1114683.0553038423,942811.9337264516
2022-04-19,1049422.5685281372,1055062.0920565764,1051846.5319204994,1113903.7114364957,950781.792953856
2022-04-20,1081390.7267312622,1059156.8555644166,1055449.2285013313,1116023.6931513918,948412.2957952442
2022-04-21,1086168.1007546997,1058521.3398513703,1054182.5921135885,1115754.229613869,927087.6870639705
2022-04-22,1083042.1783914184,1035517.3189682672,1030878.8052368377,1090157.0828370543,907486.1601143272
2022-04-25,1072307.3888406372,1047900.6112740287,1043619.1840965416,1096572.9822546067,913732.7644208544
2022-04-26,1098672.3966531372,1037791.3318257814,1032768.759313674,1084767.6720078618,894346.4495546686
2022-04-27,1090827.8243875122,1038228.7927907903,1033110.8264328042,1083020.8540932813,896285.1762678728
