trial,learning_rate,n_steps,batch_size,n_epochs,gamma,gae_lambda,ent_coef,clip_range,vf_coef,score_mean,sharpe_mean,cumret_mean,maxdd_mean
8,0.00014312907952658717,512,512,10,0.995,0.9,0.001,0.3,0.75,-2.83471858010408,-3.1074880905598508,0.1789642757584402,-0.17031808212221905
7,6.084249829775808e-05,1024,64,10,0.99,0.9,0.0,0.2,0.75,-2.8807537048517524,-3.679714409930483,0.4341474328970911,-0.1386683214309028
2,0.00011381435364145349,512,512,10,0.99,0.95,0.01,0.2,0.5,-3.1513127280821465,-3.205790274994874,0.09241954817925357,-0.26072309889155953
6,0.0004141362378071349,1024,512,5,0.97,0.98,0.001,0.1,0.5,-3.4395537298827668,-3.7227020270027773,0.1700342956069224,-0.11384058818766835
5,6.193812608167268e-05,1024,128,5,0.97,0.95,0.0,0.3,0.75,-4.397337621595019,-4.6230095630403625,0.14496409661037646,-0.1285125035508196
4,0.00043364227095745047,2048,128,5,0.995,0.95,0.01,0.3,0.75,-5.538996482424368,-5.702661550624221,0.1146521454970656,-0.13127844558855484
10,6.307573264835858e-05,4096,64,10,0.995,0.98,0.005,0.2,0.75,-6.061258169109246,-6.340830075396359,0.16740947046506216,-0.11049406928602329
3,6.931992476306837e-05,512,256,10,0.97,0.98,0.01,0.1,0.5,-7.203833112737474,-7.595828342871585,0.2304456508284567,-0.13779214304560228
1,0.0009192497648701939,2048,512,10,0.995,0.95,0.0,0.3,0.5,-7.9538197965604445,-8.172229092918677,0.1467880864575989,-0.15033375311393044
0,0.0004580723447215096,2048,128,5,0.995,0.9,0.005,0.1,0.25,-11.040333757771943,-11.27386494039765,0.14265337912555975,-0.10355115125082914
11,0.00046891437488618066,2048,128,10,0.99,0.9,0.0,0.1,0.25,-13.02239760629649,-13.267890086090306,0.1481630245359945,-0.10166713855635046
9,0.0005095027544897263,4096,128,10,0.97,0.9,0.005,0.2,0.25,-15.80486912515391,-16.07478036851238,0.15973808230434794,-0.09912984250045731
