strategy,ann_sharpe_point,boot_mean_sharpe,ci_low,ci_high
PPO_Phase6_SEC,0.7245635165598332,0.7012211652386031,-0.6097118114767258,1.9024458341227988
PPO_Phase5_BasicFDA,0.5786618011129487,0.5522878303170067,-0.7743048427647494,1.8419707779969567
PPO_PriceOnly,0.4201372865465067,0.42475130780923326,-0.8719838304576758,1.7258334049178778
BuyHold_Equal,0.37439549038129705,0.36098791452847706,-1.0165332064533519,1.6595312844254335
EqualWeight_Monthly,0.33806559211334425,0.3330605416374099,-0.9185462298866311,1.644911341223582
PPO_Phase5_RichFDA_CT,0.3164124295134979,0.3290605881545824,-0.9372322676567425,1.6545188230578463
PPO_Phase5_RichFDA,0.20985113847796164,0.2212535999468063,-1.1441613838267388,1.4491066210453025
PPO_PriceSentiment,0.0012582312403397915,-0.009026157396847857,-1.3376567827819172,1.2772172694694832
XPH,-0.0533291866877903,-0.07456863307141816,-1.3695357745456684,1.2358766407437467
Momentum_20D,-0.16157244930003323,-0.16579775156896495,-1.4921562951127538,1.1864765424516506
