source_strategy,signal_type,bucket,mean_action,buy_ratio,hold_ratio,sell_ratio,n
PPO_Phase5_BasicFDA,fda_proximity,event_0_5d,0.9074074074074074,0.0925925925925925,0.7222222222222222,0.1851851851851851,54
PPO_Phase5_BasicFDA,fda_proximity,near_6_20d,0.90990990990991,0.081081081081081,0.7477477477477478,0.1711711711711711,111
PPO_Phase5_BasicFDA,fda_proximity,far_21_90d,0.7866034380557202,0.0735032602252519,0.6395969176052163,0.2868998221695317,1687
PPO_Phase5_BasicFDA,fda_proximity,no_event_90p,0.9415584415584416,0.1683673469387755,0.6048237476808905,0.2268089053803339,2156
PPO_Phase5_RichFDA,fda_proximity,event_0_5d,1.3703703703703705,0.4629629629629629,0.4444444444444444,0.0925925925925925,54
PPO_Phase5_RichFDA,fda_proximity,near_6_20d,1.4324324324324325,0.5135135135135135,0.4054054054054054,0.081081081081081,111
PPO_Phase5_RichFDA,fda_proximity,far_21_90d,1.3017190278601067,0.3615886188500296,0.5785417901600475,0.0598695909899229,1687
PPO_Phase5_RichFDA,fda_proximity,no_event_90p,1.197124304267161,0.3761595547309833,0.4448051948051948,0.1790352504638219,2156
PPO_Phase5_RichFDA_CT,fda_proximity,event_0_5d,1.537037037037037,0.5370370370370371,0.4629629629629629,0.0,54
PPO_Phase5_RichFDA_CT,fda_proximity,near_6_20d,1.4864864864864864,0.4864864864864865,0.5135135135135135,0.0,111
PPO_Phase5_RichFDA_CT,fda_proximity,far_21_90d,1.6520450503852993,0.6520450503852994,0.3479549496147006,0.0,1687
PPO_Phase5_RichFDA_CT,fda_proximity,no_event_90p,1.6131725417439704,0.6131725417439703,0.3868274582560297,0.0,2156
PPO_Phase6_SEC,sec_filing_recency,filing_0_5d,1.125,0.375,0.375,0.25,4008
PPO_Phase6_SEC,sec_filing_recency,filing_6_20d,,,,,0
PPO_Phase6_SEC,sec_filing_recency,filing_21_90d,,,,,0
PPO_Phase6_SEC,sec_filing_recency,filing_90p,,,,,0
