strategy,cumulative_return_pct,ann_sharpe,ann_sortino,max_drawdown_pct,win_rate,alpha_vs_xph_ann_pct,rank_return,rank_sharpe,rank_sortino,rank_drawdown,rank_alpha,rank_mean
PPO_Phase6_SEC,27.63631508675808,0.7681299987682201,1.2756133943034065,-15.60381655604479,0.5269461077844312,16.073845109978226,1.0,1.0,1.0,2.0,2.0,1.4
PPO_Phase5_BasicFDA,25.43125602520231,0.613395990583404,1.0611819125149768,-17.527683405353088,0.497005988023952,16.125120712868846,2.0,2.0,2.0,4.0,1.0,2.2
PPO_PriceOnly,12.106765010952516,0.4453792207139211,0.7180824605432411,-15.215890837719648,0.4930139720558882,9.15278658571772,3.0,3.0,3.0,1.0,3.0,2.6
BuyHold_Equal,9.625921494974676,0.3778200874096896,0.6132200373827442,-17.925455725349103,0.5089820359281437,7.737317705970717,4.0,4.0,4.0,5.0,4.0,4.2
PPO_Phase5_RichFDA_CT,8.242213350573312,0.3353933386815198,0.5349710605370668,-15.604897351818714,0.4830339321357285,7.351614611559914,6.0,6.0,6.0,3.0,5.0,5.2
EqualWeight_Monthly,8.46095664434461,0.3396337616382199,0.5549418523811325,-18.982354253547097,0.500998003992016,7.237284173349481,5.0,5.0,5.0,7.0,6.0,5.6
PPO_Phase5_RichFDA,5.016599058664184,0.2224488294797097,0.3906157431638612,-25.551392171409017,0.5029940119760479,6.488122976453996,7.0,7.0,7.0,10.0,7.0,7.6
PPO_PriceSentiment,-2.700686824139764,0.001324395333121,0.0020455247244347,-18.387630352292728,0.4830339321357285,2.205871858955896,8.0,8.0,8.0,6.0,8.0,7.6
XPH,-8.074729669037406,-0.0907231798730873,-0.145940914195668,-22.61907883583225,0.4910179640718562,0.0,9.0,9.0,9.0,8.0,9.0,8.8
Momentum_20D,-8.40111370015938,-0.1712606589610891,-0.2545389672260301,-24.22155041572468,0.4650698602794411,-0.9987883299745212,10.0,10.0,10.0,9.0,10.0,9.8
