filing_id,ticker,filed_at,form_type,text_path,source_path
abbv_10q_20180504_000155115218000025,ABBV,2018-05-04,10-Q,abbv_10q_20180504_000155115218000025.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/ABBV/10-Q/0001551152-18-000025/full-submission.txt
abbv_10q_20180807_000155115218000032,ABBV,2018-08-07,10-Q,abbv_10q_20180807_000155115218000032.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/ABBV/10-Q/0001551152-18-000032/full-submission.txt
abbv_10q_20181107_000155115218000042,ABBV,2018-11-07,10-Q,abbv_10q_20181107_000155115218000042.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/ABBV/10-Q/0001551152-18-000042/full-submission.txt
abbv_10k_20190227_000155115219000008,ABBV,2019-02-27,10-K,abbv_10k_20190227_000155115219000008.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/ABBV/10-K/0001551152-19-000008/full-submission.txt
abbv_10q_20190503_000155115219000016,ABBV,2019-05-03,10-Q,abbv_10q_20190503_000155115219000016.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/ABBV/10-Q/0001551152-19-000016/full-submission.txt
abbv_10q_20190805_000155115219000023,ABBV,2019-08-05,10-Q,abbv_10q_20190805_000155115219000023.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/ABBV/10-Q/0001551152-19-000023/full-submission.txt
abbv_10q_20191106_000155115219000030,ABBV,2019-11-06,10-Q,abbv_10q_20191106_000155115219000030.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/ABBV/10-Q/0001551152-19-000030/full-submission.txt
abbv_10k_20200221_000155115220000007,ABBV,2020-02-21,10-K,abbv_10k_20200221_000155115220000007.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/ABBV/10-K/0001551152-20-000007/full-submission.txt
abbv_10q_20200508_000155115220000015,ABBV,2020-05-08,10-Q,abbv_10q_20200508_000155115220000015.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/ABBV/10-Q/0001551152-20-000015/full-submission.txt
abbv_10q_20200804_000155115220000023,ABBV,2020-08-04,10-Q,abbv_10q_20200804_000155115220000023.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/ABBV/10-Q/0001551152-20-000023/full-submission.txt
